page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN4-G1972-VP069,LTMD-CN4-G1972,1972,4,69,3,100,86.46,0.1000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP070,LTMD-CN4-G1972,1972,4,70,3,124,88.20,0.0968,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP071,LTMD-CN4-G1972,1972,4,71,3,93,87.15,0.0753,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP072,LTMD-CN4-G1972,1972,4,72,3,90,88.83,0.1111,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP073,LTMD-CN4-G1972,1972,4,73,3,63,88.86,0.1111,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP074,LTMD-CN4-G1972,1972,4,74,3,179,91.01,0.0559,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP075,LTMD-CN4-G1972,1972,4,75,3,88,89.63,0.0909,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP076,LTMD-CN4-G1972,1972,4,76,3,96,91.50,0.0521,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP077,LTMD-CN4-G1972,1972,4,77,3,12,57.75,0.4167,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN46_0.1
LTMD-CN4-G1972-VP078,LTMD-CN4-G1972,1972,4,78,3,57,87.99,0.1053,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN46_0.1
