audit_version,book_id,viewer_key,catalog_generation,grade,viewer_page,source_image_index,is_terminal_declared_slot,url,http_status,content_type,reachable_image,error
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,126,126,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/126.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,127,127,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/127.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,128,128,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/128.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,129,129,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/129.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,130,130,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/130.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,131,131,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/131.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,132,132,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/132.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,133,133,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/133.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,134,134,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/134.jpg,206,image/jpeg,1,
CN46_OBJECT_AUDIT_0.1,LTMD-CN4-G1972,H1972P4CI077,1972,4,135,135,0,https://historico.conaliteg.gob.mx/c/H1972P4CI077/135.jpg,206,image/jpeg,1,
