scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP015,LTMD-CN6-G1988,1988,6,15,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP016,LTMD-CN6-G1988,1988,6,16,3,1,1,0,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP227,LTMD-CN6-G1988,1988,6,227,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP228,LTMD-CN6-G1988,1988,6,228,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP229,LTMD-CN6-G1988,1988,6,229,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP230,LTMD-CN6-G1988,1988,6,230,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP231,LTMD-CN6-G1988,1988,6,231,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP232,LTMD-CN6-G1988,1988,6,232,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP233,LTMD-CN6-G1988,1988,6,233,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP234,LTMD-CN6-G1988,1988,6,234,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP235,LTMD-CN6-G1988,1988,6,235,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP236,LTMD-CN6-G1988,1988,6,236,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP237,LTMD-CN6-G1988,1988,6,237,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP238,LTMD-CN6-G1988,1988,6,238,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP239,LTMD-CN6-G1988,1988,6,239,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP240,LTMD-CN6-G1988,1988,6,240,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP241,LTMD-CN6-G1988,1988,6,241,3,1,0,1,0,0,0,0,
CN46_STRUCTKW_0.1,LTMD-CN6-G1988-VP242,LTMD-CN6-G1988,1988,6,242,3,1,0,1,0,0,1,1,
