normalization_version,viewer_key,catalog_generation,grade_code,viewer_title,title_core,title_core_normalized
CONALITEG_TITLECORE_0.2,H1972P3CI072,1972,3,CIENCIAS SOCIALES Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P3ES073,1972,3,ESPAÑOL Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL,espanol
CONALITEG_TITLECORE_0.2,H1972P3ES074,1972,3,ESPAÑOL LECTURAS Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL LECTURAS,espanol lecturas
CONALITEG_TITLECORE_0.2,H1972P3ES075,1972,3,ESPAÑOL EJERCICIOS Y LECTURAS Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS Y LECTURAS,espanol ejercicios y lecturas
CONALITEG_TITLECORE_0.2,H1972P3MA076,1972,3,MATEMÁTICAS Grado 3° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMÁTICAS,matematicas
CONALITEG_TITLECORE_0.2,H1972P4CI077,1972,4,CIENCIAS NATURALES Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P4CI078,1972,4,CIENCIAS SOCIALES Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P4ES080,1972,4,ESPAÑOL EJERCICIOS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS,espanol ejercicios
CONALITEG_TITLECORE_0.2,H1972P4ES081,1972,4,ESPAÑOL LECTURAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL LECTURAS,espanol lecturas
CONALITEG_TITLECORE_0.2,H1972P4ES082,1972,4,ESPAÑOL EJERCICIOS Y LECTURAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS Y LECTURAS,espanol ejercicios y lecturas
CONALITEG_TITLECORE_0.2,H1972P4MA083,1972,4,MATEMÁTICAS Grado 4° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMÁTICAS,matematicas
CONALITEG_TITLECORE_0.2,H1972P5CI084,1972,5,CIENCIAS NATURALES Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P5CI085,1972,5,CIENCIAS SOCIALES Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P5ES086,1972,5,ESPAÑOL EJERCICIOS Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS,espanol ejercicios
CONALITEG_TITLECORE_0.2,H1972P5ES087,1972,5,ESPAÑOL Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL,espanol
CONALITEG_TITLECORE_0.2,H1972P5ES088,1972,5,ESPAÑOL LECTURAS Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL LECTURAS,espanol lecturas
CONALITEG_TITLECORE_0.2,H1972P5MA089,1972,5,MATEMÁTICAS Grado 5° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMÁTICAS,matematicas
CONALITEG_TITLECORE_0.2,H1972P6CI090,1972,6,CIENCIAS NATURALES Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS NATURALES,ciencias naturales
CONALITEG_TITLECORE_0.2,H1972P6CI091,1972,6,CIENCIAS SOCIALES Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,CIENCIAS SOCIALES,ciencias sociales
CONALITEG_TITLECORE_0.2,H1972P6ES092,1972,6,ESPAÑOL EJERCICIOS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL EJERCICIOS,espanol ejercicios
CONALITEG_TITLECORE_0.2,H1972P6ES093,1972,6,ESPAÑOL LECTURAS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,ESPAÑOL LECTURAS,espanol lecturas
CONALITEG_TITLECORE_0.2,H1972P6MA094,1972,6,MATEMÁTICAS Grado 6° Generación 1972 .: Comisión Nacional de Libros de Texto Gratuitos :.,MATEMÁTICAS,matematicas
CONALITEG_TITLECORE_0.2,H1982P1ES096,1982,1,MI LIBRO RECORTABLE PARTE 1 Grado 1° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO RECORTABLE PARTE 1,mi libro recortable parte 1
CONALITEG_TITLECORE_0.2,H1982P1ES097,1982,1,MI LIBRO RECORTABLE PARTE 2 Grado 1° Generación 1982 .: Comisión Nacional de Libros de Texto Gratuitos :.,MI LIBRO RECORTABLE PARTE 2,mi libro recortable parte 2
