coverage_version,wave_priority,wave_label,queue_status,operational_domain,viewer_key,catalog_generation,grade_code,title_core,asset_status,effective_fragseg_coverage,coverage_inherited_from_viewer,source_url
LTMD_U1_COVERAGE_0.5,0,U1-W0-alias-cubierto,covered_alias,matematicas,H1982P6MA399,1982,6,MATEMATICAS,full_effective_w2_math_reconciled,1,H1972P6MA094,https://historico.conaliteg.gob.mx/H1982P6MA399.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1988P3CI129,1988,3,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1988P3CI129.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1988P3MA118,1988,3,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1988P3MA118.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1988P4CI119,1988,4,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1988P4CI119.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1988P4MA122,1988,4,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1988P4MA122.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1988P5CI123,1988,5,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1988P5CI123.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1988P5MA127,1988,5,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1988P5MA127.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1988P6CI128,1988,6,CIENCIAS NATURALES,full_direct,1,,https://historico.conaliteg.gob.mx/H1988P6CI128.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1988P6MA134,1988,6,MATEMÁTICAS,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1988P6MA134.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P1MA142,1993,1,Matemáticas Recortable,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P1MA142.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P1MA143,1993,1,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P1MA143.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P2MA151,1993,2,Matemáticas,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P2MA151.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,matematicas,H1993P2MA152,1993,2,Matemáticas recortable,full_effective_w2_math_reconciled,1,,https://historico.conaliteg.gob.mx/H1993P2MA152.htm
LTMD_U1_COVERAGE_0.5,0,U1-W0-materializado,materialized_direct,ciencias_naturales,H1993P3CI153,1993,3,Ciencias Naturales,full_direct,1,,https://historico.conaliteg.gob.mx/H1993P3CI153.htm
