observation_version,observation_id,viewer_key,field,normalized_value,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,support_class,psm_support_count,psm_modes,isbn13_checksum_valid,extraction_source_version
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P3FCA:edition_history_statement:fourth_edition:2014,H2014P3FCA,edition_history_statement,fourth_edition:2014,2,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,221810,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P3FCA:edition_history_statement:second_edition:2009,H2014P3FCA,edition_history_statement,second_edition:2009,2,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,221810,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P3FCA:edition_history_statement:third_edition:2010,H2014P3FCA,edition_history_statement,third_edition:2010,2,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,221810,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P3FCA:reprint_history_statement:third_reprint:2017,H2014P3FCA,reprint_history_statement,third_reprint:2017,2,2,1ccb3b40067163d4c7dbc2cc08e77654d871a510f591567bc3e9cf237e0b43b1,221810,strong_multipsm,3,3;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P4FCA:edition_history_statement:first_edition:2008,H2014P4FCA,edition_history_statement,first_edition:2008,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P4FCA:edition_history_statement:fourth_edition:2014,H2014P4FCA,edition_history_statement,fourth_edition:2014,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P4FCA:edition_history_statement:second_edition:2009,H2014P4FCA,edition_history_statement,second_edition:2009,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P4FCA:edition_history_statement:third_edition:2010,H2014P4FCA,edition_history_statement,third_edition:2010,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,strong_multipsm,4,3;4;6;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P4FCA:school_cycle_statement:2017-2018,H2014P4FCA,school_cycle_statement,2017-2018,2,2,2c388c68da843a2351e9843a7895b56d7fe795cb18cb17ecc04a298ab87f4024,234168,strong_multipsm,3,3;4;11,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P6FCA:edition_history_statement:first_edition:2014,H2014P6FCA,edition_history_statement,first_edition:2014,4,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,202134,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P6FCA:edition_history_statement:first_edition:2018,H2014P6FCA,edition_history_statement,first_edition:2018,4,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,202134,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.2,H2014P6FCA:reprint_history_statement:third_reprint:2017,H2014P6FCA,reprint_history_statement,third_reprint:2017,4,4,3b929a3d074a2d7dad03e641b41f2cd70de8d6b016d95a47dddf2736534d0687,202134,strong_multipsm,4,3;4;11;12,,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1
