topology_version,page_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_kind,source_asset_url,sha256,byte_size,original_source_asset_url,original_asset_status,recovery_reference_viewer_key
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0083,H2011P4GE321,2011,4,GEOGRAFÍA,83,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/083.jpg,eba20a2e1bb23fb5a06a902966ec34058f62b70d6d1f55f0634bb77aadf5426c,230055,https://historico.conaliteg.gob.mx/c/H2011P4GE321/083.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0084,H2011P4GE321,2011,4,GEOGRAFÍA,84,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/084.jpg,89339b19f8da418c76c6d4b7b77e322322656caedd6762d3abf45dcea4330d8b,503253,https://historico.conaliteg.gob.mx/c/H2011P4GE321/084.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0085,H2011P4GE321,2011,4,GEOGRAFÍA,85,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/085.jpg,f4c7e35ce196b6b434f2bdf73c127b6dae13a698640250f8260caef490d29d8e,448072,https://historico.conaliteg.gob.mx/c/H2011P4GE321/085.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0086,H2011P4GE321,2011,4,GEOGRAFÍA,86,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/086.jpg,15ff089ea18132417b1acb24db153f2dd26c708e7490eee23c95be0f997ef7f9,371368,https://historico.conaliteg.gob.mx/c/H2011P4GE321/086.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0087,H2011P4GE321,2011,4,GEOGRAFÍA,87,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/087.jpg,57bae067d6917407be2680cfe4e8940505d74d1fb5c831c54b08c078ef02581b,405980,https://historico.conaliteg.gob.mx/c/H2011P4GE321/087.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0088,H2011P4GE321,2011,4,GEOGRAFÍA,88,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/088.jpg,757a6bab20d917c46327d58c5557aaaf0e83fec73f684327e5f729e93462fede,360066,https://historico.conaliteg.gob.mx/c/H2011P4GE321/088.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0089,H2011P4GE321,2011,4,GEOGRAFÍA,89,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/089.jpg,6af7e2361740c05f4133bf70fe0c5c4624a1c583996d57c5c79fb7b0efa872f1,343164,https://historico.conaliteg.gob.mx/c/H2011P4GE321/089.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0090,H2011P4GE321,2011,4,GEOGRAFÍA,90,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/090.jpg,f9697d115da324935ea526bf1c022cb46ed35893ba518dde6d1ac2b26cb2f627,286180,https://historico.conaliteg.gob.mx/c/H2011P4GE321/090.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0091,H2011P4GE321,2011,4,GEOGRAFÍA,91,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/091.jpg,e30fb6ddecea36744cdd2dbc8c3caca22541e1c12678241bc19a2c63275d0ff3,305407,https://historico.conaliteg.gob.mx/c/H2011P4GE321/091.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H2011P4GE321:p0092,H2011P4GE321,2011,4,GEOGRAFÍA,92,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H2011P4GE321/092.jpg,93b48a195d2ce3fe8e8726b22f4d0c20d6f82c55238aee4bbfe6fadeba4b7a55,318434,https://historico.conaliteg.gob.mx/c/H2011P4GE321/092.jpg,source_jpeg,
