page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H1993P4HI198-P097,H1993P4HI198,1993,4,Historia,97,3,299,85.07,0.1237,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P098,H1993P4HI198,1993,4,Historia,98,3,303,90.68,0.0363,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P099,H1993P4HI198,1993,4,Historia,99,3,297,88.87,0.0606,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P100,H1993P4HI198,1993,4,Historia,100,3,171,79.13,0.1930,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P101,H1993P4HI198,1993,4,Historia,101,3,114,90.18,0.0439,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P102,H1993P4HI198,1993,4,Historia,102,3,330,89.34,0.0455,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P103,H1993P4HI198,1993,4,Historia,103,3,373,88.38,0.0697,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P104,H1993P4HI198,1993,4,Historia,104,3,287,86.94,0.0836,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P105,H1993P4HI198,1993,4,Historia,105,3,432,88.83,0.0602,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P106,H1993P4HI198,1993,4,Historia,106,3,336,87.72,0.0774,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P107,H1993P4HI198,1993,4,Historia,107,3,311,88.52,0.0643,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P108,H1993P4HI198,1993,4,Historia,108,3,135,73.93,0.2889,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P109,H1993P4HI198,1993,4,Historia,109,3,60,77.27,0.2000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P110,H1993P4HI198,1993,4,Historia,110,3,39,92.59,0.0256,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P111,H1993P4HI198,1993,4,Historia,111,3,240,88.53,0.0583,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P112,H1993P4HI198,1993,4,Historia,112,3,355,87.65,0.0817,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P113,H1993P4HI198,1993,4,Historia,113,3,296,92.20,0.0101,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P114,H1993P4HI198,1993,4,Historia,114,3,418,91.06,0.0263,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P115,H1993P4HI198,1993,4,Historia,115,3,59,79.84,0.2034,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
U1-H1993P4HI198-P116,H1993P4HI198,1993,4,Historia,116,3,115,86.28,0.1217,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W5_HISTORY_0.1
